Departement,50kmh,80to90kmh,110kmh,130kmh
1,"[128, 4, 83, 127]","[130, 22, 119, 149, 4, 2, 6, 8]","[33, 1, 6, 35]","[39, 0, 13, 31]"
2,"[82, 5, 53, 48]","[83, 19, 61, 50, 0, 0, 1, 1]","[3, 2, 2, 0]","[11, 2, 5, 8]"
3,"[98, 8, 58, 65]","[89, 14, 83, 64, 0, 0, 1, 0]","[0, 0, 0, 0]","[7, 0, 2, 12]"
4,"[45, 1, 23, 41]","[101, 14, 99, 101, 0, 0, 0, 1]","[3, 0, 1, 2]","[5, 0, 1, 2]"
5,"[132, 8, 37, 133]","[68, 8, 51, 78, 0, 0, 0, 2]","[0, 0, 0, 0]","[0, 0, 1, 1]"
6,"[720, 38, 300, 690]","[15, 2, 36, 14, 30, 4, 17, 38]","[25, 2, 19, 13]","[0, 0, 0, 0]"
7,"[93, 8, 40, 78]","[60, 20, 68, 77, 4, 0, 3, 5]","[0, 0, 0, 0]","[0, 0, 0, 0]"
8,"[29, 1, 26, 18]","[15, 17, 25, 16, 1, 0, 1, 0]","[5, 0, 3, 1]","[1, 4, 4, 5]"
9,"[31, 5, 19, 30]","[37, 2, 45, 40, 0, 0, 1, 1]","[0, 0, 1, 4]","[0, 1, 3, 1]"
10,"[260, 5, 48, 244]","[59, 12, 44, 75, 4, 0, 0, 1]","[23, 0, 6, 27]","[12, 1, 10, 3]"
11,"[150, 5, 57, 112]","[82, 23, 88, 66, 14, 0, 5, 5]","[0, 0, 0, 0]","[49, 3, 8, 27]"
12,"[57, 4, 33, 36]","[74, 12, 69, 70, 1, 0, 0, 2]","[0, 0, 4, 2]","[9, 0, 8, 10]"
13,"[1568, 39, 486, 2004]","[130, 27, 148, 127, 368, 8, 55, 533]","[170, 6, 24, 201]","[138, 5, 17, 86]"
14,"[218, 11, 88, 195]","[107, 17, 93, 79, 14, 1, 3, 13]","[2, 1, 8, 10]","[27, 2, 11, 11]"
15,"[32, 1, 16, 12]","[29, 7, 32, 11, 1, 0, 1, 0]","[1, 0, 0, 2]","[15, 2, 0, 1]"
16,"[46, 3, 30, 28]","[63, 7, 95, 40, 1, 1, 1, 0]","[12, 1, 9, 11]","[0, 0, 0, 0]"
17,"[288, 8, 96, 244]","[106, 36, 112, 84, 22, 0, 2, 32]","[8, 3, 7, 5]","[16, 2, 9, 6]"
18,"[43, 9, 32, 38]","[53, 12, 53, 37, 0, 0, 0, 0]","[5, 0, 0, 3]","[27, 0, 7, 18]"
19,"[114, 1, 27, 103]","[21, 2, 40, 23, 16, 1, 2, 1]","[2, 1, 1, 1]","[8, 0, 7, 7]"
20,"[0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
21,"[86, 11, 58, 56]","[48, 15, 64, 49, 8, 0, 2, 6]","[3, 0, 2, 4]","[27, 2, 14, 17]"
22,"[138, 11, 70, 117]","[110, 17, 84, 63, 24, 0, 2, 19]","[48, 3, 22, 60]","[0, 0, 0, 0]"
23,"[15, 2, 13, 5]","[37, 5, 32, 6, 0, 0, 0, 0]","[3, 0, 2, 2]","[0, 0, 0, 0]"
24,"[42, 3, 38, 11]","[92, 13, 90, 61, 0, 0, 1, 3]","[0, 0, 1, 0]","[0, 1, 1, 0]"
25,"[142, 2, 69, 120]","[48, 19, 53, 28, 6, 0, 2, 11]","[2, 1, 1, 1]","[13, 0, 2, 4]"
26,"[106, 8, 66, 89]","[80, 15, 75, 78, 6, 0, 4, 8]","[20, 0, 2, 11]","[34, 5, 20, 20]"
27,"[169, 10, 66, 145]","[99, 17, 94, 81, 6, 1, 2, 7]","[2, 0, 3, 3]","[38, 1, 18, 22]"
28,"[53, 2, 46, 47]","[59, 18, 81, 38, 4, 2, 3, 4]","[0, 0, 2, 3]","[34, 6, 25, 20]"
29,"[348, 12, 106, 368]","[74, 13, 75, 81, 19, 0, 4, 20]","[40, 5, 20, 35]","[0, 0, 0, 0]"
30,"[189, 18, 94, 126]","[89, 22, 130, 117, 7, 1, 14, 6]","[1, 0, 2, 1]","[20, 6, 10, 20]"
31,"[500, 23, 165, 397]","[68, 14, 72, 57, 136, 5, 24, 126]","[7, 0, 7, 3]","[49, 11, 19, 32]"
32,"[47, 2, 35, 34]","[57, 18, 66, 37, 0, 1, 2, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
33,"[712, 22, 247, 655]","[156, 33, 135, 110, 283, 1, 12, 209]","[98, 0, 4, 62]","[150, 5, 17, 99]"
34,"[557, 26, 157, 449]","[118, 25, 127, 112, 24, 5, 11, 31]","[17, 1, 8, 15]","[44, 2, 21, 36]"
35,"[368, 9, 97, 386]","[92, 19, 84, 58, 144, 3, 12, 145]","[35, 4, 26, 32]","[5, 0, 3, 2]"
36,"[52, 1, 36, 50]","[39, 12, 33, 23, 0, 0, 1, 1]","[4, 0, 2, 7]","[7, 2, 7, 4]"
37,"[462, 4, 79, 482]","[86, 16, 92, 59, 19, 1, 5, 29]","[0, 0, 0, 3]","[20, 0, 13, 18]"
38,"[284, 23, 129, 233]","[141, 38, 171, 167, 12, 4, 9, 17]","[23, 0, 5, 14]","[30, 4, 13, 23]"
39,"[27, 2, 18, 11]","[51, 10, 47, 35, 1, 1, 1, 0]","[0, 0, 0, 0]","[6, 1, 4, 1]"
40,"[50, 7, 48, 19]","[75, 18, 68, 30, 3, 1, 2, 1]","[0, 0, 1, 1]","[6, 0, 5, 0]"
41,"[97, 5, 57, 83]","[43, 18, 56, 41, 22, 0, 7, 12]","[2, 0, 0, 1]","[43, 2, 18, 47]"
42,"[180, 6, 98, 173]","[53, 14, 58, 66, 26, 0, 6, 32]","[6, 0, 5, 16]","[13, 0, 3, 7]"
43,"[49, 7, 32, 19]","[34, 7, 61, 37, 0, 1, 0, 0]","[0, 0, 1, 3]","[0, 0, 0, 0]"
44,"[288, 18, 142, 222]","[119, 30, 92, 71, 7, 4, 7, 11]","[7, 2, 7, 5]","[5, 6, 11, 2]"
45,"[419, 8, 78, 432]","[48, 19, 63, 35, 16, 1, 9, 17]","[15, 1, 3, 7]","[29, 1, 24, 14]"
46,"[34, 2, 18, 6]","[45, 9, 51, 10, 2, 0, 3, 0]","[0, 0, 1, 1]","[6, 3, 5, 0]"
47,"[53, 1, 38, 31]","[53, 17, 76, 40, 2, 0, 1, 3]","[0, 0, 0, 0]","[7, 2, 3, 8]"
48,"[19, 1, 13, 11]","[23, 2, 28, 41, 0, 0, 0, 0]","[2, 0, 1, 4]","[5, 1, 5, 1]"
49,"[215, 8, 70, 244]","[112, 18, 111, 88, 29, 1, 3, 45]","[21, 0, 12, 7]","[7, 1, 4, 6]"
50,"[182, 7, 47, 201]","[144, 28, 106, 92, 3, 0, 1, 13]","[14, 1, 4, 2]","[10, 1, 2, 6]"
51,"[351, 14, 77, 316]","[46, 16, 63, 44, 1, 0, 2, 4]","[10, 2, 10, 3]","[9, 3, 21, 24]"
52,"[34, 2, 19, 41]","[24, 8, 34, 24, 0, 0, 0, 0]","[2, 0, 2, 2]","[9, 0, 3, 6]"
53,"[23, 1, 25, 8]","[60, 6, 59, 19, 1, 0, 1, 0]","[0, 0, 0, 0]","[10, 0, 4, 2]"
54,"[346, 9, 83, 362]","[42, 16, 51, 61, 5, 1, 4, 4]","[26, 2, 16, 16]","[2, 0, 1, 1]"
55,"[28, 4, 18, 30]","[20, 9, 28, 26, 0, 0, 0, 5]","[1, 1, 2, 1]","[2, 0, 2, 5]"
56,"[226, 11, 78, 240]","[91, 28, 102, 68, 20, 1, 3, 25]","[16, 4, 11, 12]","[0, 0, 0, 0]"
57,"[158, 13, 122, 96]","[57, 17, 67, 69, 15, 1, 4, 11]","[31, 5, 11, 33]","[4, 0, 6, 1]"
58,"[74, 2, 28, 79]","[28, 12, 45, 30, 0, 1, 0, 0]","[2, 1, 0, 2]","[10, 0, 3, 8]"
59,"[529, 37, 265, 501]","[67, 17, 66, 52, 43, 4, 21, 16]","[47, 7, 32, 18]","[13, 4, 3, 4]"
60,"[160, 10, 100, 159]","[61, 15, 68, 82, 14, 2, 10, 12]","[18, 3, 12, 28]","[29, 3, 6, 44]"
61,"[42, 7, 31, 23]","[60, 17, 72, 63, 4, 0, 3, 1]","[1, 0, 1, 2]","[15, 0, 3, 11]"
62,"[308, 23, 223, 180]","[98, 24, 106, 111, 10, 0, 17, 4]","[22, 6, 3, 9]","[21, 3, 12, 17]"
63,"[245, 4, 74, 195]","[106, 30, 90, 86, 10, 0, 5, 2]","[7, 1, 7, 4]","[21, 1, 12, 3]"
64,"[572, 15, 139, 557]","[60, 22, 54, 60, 1, 1, 4, 3]","[1, 0, 0, 2]","[4, 1, 5, 5]"
65,"[67, 3, 38, 38]","[35, 2, 35, 19, 2, 0, 0, 4]","[0, 0, 1, 4]","[0, 0, 0, 0]"
66,"[179, 9, 65, 162]","[34, 10, 33, 44, 5, 2, 3, 6]","[25, 4, 11, 21]","[14, 0, 7, 14]"
67,"[433, 13, 92, 419]","[71, 18, 85, 70, 103, 2, 7, 100]","[17, 4, 9, 3]","[9, 1, 5, 5]"
68,"[194, 7, 92, 148]","[67, 8, 66, 77, 3, 0, 2, 5]","[33, 1, 7, 21]","[26, 2, 5, 18]"
69,"[1965, 33, 369, 1977]","[75, 5, 64, 122, 116, 5, 43, 140]","[21, 4, 11, 38]","[13, 0, 7, 21]"
70,"[46, 6, 30, 19]","[27, 8, 51, 23, 1, 1, 0, 1]","[2, 0, 4, 0]","[0, 0, 0, 0]"
71,"[204, 12, 106, 242]","[76, 23, 74, 84, 0, 1, 3, 0]","[14, 1, 10, 12]","[25, 3, 11, 9]"
72,"[159, 6, 42, 173]","[74, 22, 65, 120, 14, 0, 1, 13]","[0, 1, 0, 0]","[22, 7, 14, 22]"
73,"[75, 7, 58, 53]","[62, 10, 60, 54, 6, 0, 1, 7]","[18, 2, 6, 11]","[14, 0, 5, 8]"
74,"[291, 14, 96, 225]","[118, 26, 80, 71, 10, 5, 8, 8]","[11, 1, 8, 8]","[7, 1, 6, 2]"
75,"[3900, 20, 263, 4403]","[1, 0, 0, 1, 27, 0, 3, 24]","[2, 0, 0, 1]","[0, 0, 0, 0]"
76,"[363, 10, 148, 359]","[92, 14, 88, 86, 18, 0, 6, 28]","[13, 0, 10, 13]","[20, 1, 16, 8]"
77,"[284, 11, 117, 259]","[154, 29, 112, 202, 169, 7, 27, 205]","[151, 6, 21, 148]","[75, 2, 13, 68]"
78,"[210, 6, 104, 170]","[24, 5, 29, 31, 84, 2, 12, 66]","[219, 5, 19, 215]","[115, 4, 12, 125]"
79,"[99, 8, 45, 47]","[52, 20, 66, 35, 2, 1, 1, 1]","[5, 3, 3, 5]","[25, 2, 4, 8]"
80,"[247, 14, 40, 260]","[78, 14, 76, 72, 18, 2, 9, 19]","[13, 0, 1, 19]","[42, 3, 19, 24]"
81,"[69, 7, 36, 43]","[64, 24, 75, 73, 2, 2, 1, 1]","[2, 0, 2, 0]","[3, 0, 2, 1]"
82,"[46, 6, 44, 24]","[39, 16, 55, 29, 2, 2, 1, 3]","[5, 1, 0, 0]","[9, 0, 1, 7]"
83,"[321, 15, 163, 267]","[116, 35, 122, 107, 44, 1, 13, 36]","[62, 1, 5, 45]","[22, 0, 11, 21]"
84,"[108, 12, 73, 66]","[76, 11, 59, 55, 2, 0, 0, 1]","[0, 0, 0, 0]","[18, 3, 7, 7]"
85,"[113, 8, 82, 89]","[100, 23, 99, 65, 7, 2, 5, 3]","[11, 1, 6, 3]","[9, 1, 5, 3]"
86,"[124, 4, 53, 112]","[86, 16, 94, 36, 3, 0, 3, 5]","[5, 0, 1, 8]","[24, 1, 4, 20]"
87,"[262, 5, 57, 263]","[48, 11, 60, 42, 8, 0, 0, 3]","[27, 0, 7, 22]","[8, 0, 8, 2]"
88,"[83, 7, 48, 46]","[38, 13, 63, 48, 0, 0, 0, 1]","[7, 1, 5, 15]","[2, 0, 3, 3]"
89,"[57, 9, 42, 43]","[58, 23, 53, 75, 12, 0, 1, 10]","[4, 2, 4, 1]","[29, 5, 17, 23]"
90,"[22, 2, 15, 7]","[6, 4, 13, 7, 2, 0, 0, 2]","[6, 0, 3, 3]","[0, 0, 0, 0]"
91,"[677, 10, 141, 709]","[29, 5, 12, 33, 209, 6, 21, 219]","[336, 3, 14, 316]","[15, 1, 1, 20]"
92,"[1806, 21, 170, 1976]","[1, 0, 0, 1, 279, 1, 20, 267]","[73, 0, 3, 56]","[1, 0, 0, 1]"
93,"[2159, 16, 283, 2246]","[1, 0, 0, 2, 457, 5, 28, 482]","[254, 4, 17, 238]","[0, 0, 0, 0]"
94,"[1829, 16, 188, 1941]","[6, 0, 0, 5, 529, 7, 25, 494]","[45, 1, 1, 37]","[14, 1, 0, 11]"
95,"[246, 8, 89, 249]","[11, 6, 18, 12, 138, 3, 17, 180]","[189, 1, 22, 315]","[9, 1, 3, 17]"
all,"[29751, 902, 8253, 29290]","[6154, 1430, 6348, 5508]","[2416, 114, 553, 2330]","[1691, 139, 640, 1237]"
